Time,RPM,Speed,Motor Current,Pack Voltage,Controller Temperature,Motor Temperature,Lowest Cell Voltage,Low Cell Voltage ID,Average Cell Voltage,Highest Cell Voltage,High Cell Voltage ID,State of Charge,Errors,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24
0.022057294845581055,0,0.0,0.0,0.0,-40,-30,0.0,0,0.0,0.0,0,0.0, Low Voltage,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.026121139526367188,0,0.0,0.0,0.0,-40,-30,0.0,0,0.0,0.0,0,0.0, Low Voltage,0.0,0,0,0,0,0,0,4.0378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.04931998252868652,0,0.0,0.0,0.0,-40,-30,0.0,0,0.0,0.0,0,0.0, Low Voltage,0.0,0,0,0,0,0,0,4.0378,3.9969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0105,0.0105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.05939054489135742,0,0.0,0.0,0.0,42,18,0.0,0,0.0,0.0,0,0.0, Low Voltage,0.0,0,0,0,0,0,0,4.0378,3.9969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0105,0.0105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.06976938247680664,0,0.0,0.0,0.0,42,18,0.0,0,0.0,0.0,0,0.0, Low Voltage,0.0,0,0,0,0,0,0,4.0378,3.9969,4.0224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0105,0.0105,0.0105,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.07506752014160156,0,0.0,0.0,0.0,42,18,0.0,0,0.0,0.0,0,0.0, Low Voltage,0.0,0,0,0,0,0,0,4.0378,3.9969,4.0224,4.0784,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0105,0.0105,0.0105,0.0105,0,0,0,0,0,0,0,0,0,0,0,0,0
0.08041691780090332,0,0.0,0.0,0.0,42,18,0.0,0,0.0,0.0,0,0.0, Low Voltage,0.0,0,0,0,0,0,0,4.0378,3.9969,4.0224,4.0784,4.0223,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0105,0.0105,0.0105,0.0105,0.0105,0,0,0,0,0,0,0,0,0,0,0,0
0.0856318473815918,0,0.0,0.0,0.0,42,18,0.0,0,0.0,0.0,0,0.0, Low Voltage,0.0,0,0,0,0,0,0,4.0378,3.9969,4.0224,4.0784,4.0223,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0105,0.0105,0.0105,0.0105,0.0105,0,0,0,0,0,0,0,0,0,0,0,0
0.09099125862121582,0,0.0,0.0,0.0,42,18,0.0,0,0.0,0.0,0,0.0, Low Voltage,0.0,0,0,0,0,0,0,4.0378,3.9969,4.0224,4.0784,4.0223,4.0434,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0105,0.0105,0.0105,0.0105,0.0105,0.0105,0,0,0,0,0,0,0,0,0,0,0
0.09637641906738281,0,0.0,0.0,0.0,42,18,0.0,0,0.0,0.0,0,0.0, Low Voltage,0.0,0,0,0,0,0,0,4.0378,3.9969,4.0224,4.0784,4.0223,4.0434,4.0224,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0105,0.0105,0.0105,0.0105,0.0105,0.0105,0.0105,0,0,0,0,0,0,0,0,0,0
0.1004037857055664,0,0.0,0.0,0.0,42,18,0.0,0,0.0,0.0,0,0.0, Low Voltage,0.0,0,0,0,0,0,0,4.0378,3.9969,4.0224,4.0784,4.0223,4.0434,4.0224,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0105,0.0105,0.0105,0.0105,0.0105,0.0105,0.0105,0,0,0,0,0,0,0,0,0,0
0.10544896125793457,0,0.0,0.0,0.0,42,18,0.0,0,0.0,0.0,0,0.0, Low Voltage,0.0,0,0,0,0,0,0,4.0378,3.9969,4.0224,4.0784,4.0223,4.0434,4.0224,4.0355,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0105,0.0105,0.0105,0.0105,0.0105,0.0105,0.0105,0.0105,0,0,0,0,0,0,0,0,0
0.11073064804077148,0,0.0,0.0,0.0,42,18,0.0,0,0.0,0.0,0,0.0, Low Voltage,0.0,0,0,0,0,0,0,4.0378,3.9969,4.0224,4.0784,4.0223,4.0434,4.0224,4.0355,4.0426,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0105,0.0105,0.0105,0.0105,0.0105,0.0105,0.0105,0.0105,0.0105,0,0,0,0,0,0,0,0
