Time,RPM,Speed,Motor Current,Pack Voltage,Controller Temperature,Motor Temperature,Lowest Cell Voltage,Low Cell Voltage ID,Average Cell Voltage,Highest Cell Voltage,High Cell Voltage ID,State of Charge,Errors,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24
0.19476008415222168,0,0.0,0.0,53.9,36,23,3.807,0,3.9025,4.0453,2,86.5, Low Voltage,0,0,0,0,3.807,3.8935,3.877,3.9043,3.8648,3.8948,3.9313,3.9054,3.9145,3.8963,3.9095,3.909,3.9098,3.8335,3.9085,3.9105,0,0,0,0,0,0,0,0,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.20035815238952637,0,0.0,0.0,53.9,36,23,3.807,0,3.9025,4.0453,2,86.5, Low Voltage,0,0,0,0,3.807,3.8935,3.877,3.9043,3.8648,3.8948,3.9313,3.9054,3.9145,3.8963,3.9095,3.909,3.9098,3.8335,3.9085,3.9105,0,0,0,0,0,0,0,0,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.20591115951538086,0,0.0,0.0,53.9,36,23,3.807,0,3.9025,4.0453,2,86.5, Low Voltage,0,0,0,0,3.807,3.8935,3.877,3.9043,3.8648,3.8948,3.9313,3.9054,3.9145,3.8963,3.9095,3.909,3.9098,3.8335,3.9085,3.9105,3.9115,0,0,0,0,0,0,0,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
0.2114875316619873,0,0.0,0.0,53.9,36,23,3.807,0,3.9025,4.0453,2,86.5, Low Voltage,0,0,0,0,3.807,3.8935,3.877,3.9043,3.8648,3.8948,3.9313,3.9054,3.9145,3.8963,3.9095,3.909,3.9098,3.8335,3.9085,3.9105,3.9115,0,0,0,0,0,0,0,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
0.21961116790771484,0,0.0,0.0,53.9,36,23,3.8055,0,3.9023,4.0453,2,86.5, Low Voltage,0,0,0,0,3.807,3.8935,3.877,3.9043,3.8648,3.8948,3.9313,3.9054,3.9145,3.8963,3.9095,3.909,3.9098,3.8335,3.9085,3.9105,3.9115,0,0,0,0,0,0,0,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
0.2252042293548584,0,0.0,0.0,53.9,36,23,3.8055,0,3.9023,4.0453,2,86.5, Low Voltage,0,0,0,0,3.807,3.8935,3.877,3.9043,3.8648,3.8948,3.9313,3.9054,3.9145,3.8963,3.9095,3.909,3.9098,3.8335,3.9085,3.9105,3.9115,0,0,0,0,0,0,0,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
0.2308952808380127,0,0.0,0.0,53.9,36,23,3.8055,0,3.9023,4.0453,2,86.5, Low Voltage,0,0,0,0,3.807,3.8935,3.877,3.9043,3.8648,3.8948,3.9313,3.9054,3.9145,3.8963,3.9095,3.909,3.9098,3.8335,3.9085,3.9105,3.9115,3.9105,0,0,0,0,0,0,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0.23663115501403809,0,0.0,0.0,53.9,36,23,3.8055,0,3.9023,4.0453,2,86.5, Low Voltage,0,0,0,0,3.807,3.8935,3.877,3.9043,3.8648,3.8948,3.9313,3.9054,3.9145,3.8963,3.9095,3.909,3.9098,3.8335,3.9085,3.9105,3.9115,3.9105,3.914,0,0,0,0,0,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.24250507354736328,0,0.0,0.0,53.9,36,23,3.8055,0,3.9023,4.0453,2,86.5, Low Voltage,0,0,0,0,3.807,3.8935,3.877,3.9043,3.8648,3.8948,3.9313,3.9054,3.9145,3.8963,3.9095,3.909,3.9098,3.8335,3.9085,3.9105,3.9115,3.9105,3.914,3.8631,0,0,0,0,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2480602264404297,0,0.0,0.0,53.9,36,23,3.8055,0,3.9023,4.0453,2,86.5, Low Voltage,3.9705,0,0,0,3.807,3.8935,3.877,3.9043,3.8648,3.8948,3.9313,3.9054,3.9145,3.8963,3.9095,3.909,3.9098,3.8335,3.9085,3.9105,3.9115,3.9105,3.914,3.8631,1.05,0,0,0,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25325942039489746,0,0.0,0.0,53.9,36,23,3.8055,0,3.9023,4.0453,2,86.5, Low Voltage,3.9705,4.0453,0,0,3.807,3.8935,3.877,3.9043,3.8648,3.8948,3.9313,3.9054,3.9145,3.8963,3.9095,3.909,3.9098,3.8335,3.9085,3.9105,3.9115,3.9105,3.914,3.8631,1.05,1.05,0,0,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2581455707550049,0,0.0,0.0,53.9,36,23,3.8055,0,3.9023,4.0453,2,86.5, Low Voltage,3.9705,4.0453,0,0,3.807,3.8935,3.877,3.9043,3.8648,3.8948,3.9313,3.9054,3.9145,3.8963,3.9095,3.909,3.9098,3.8335,3.9085,3.9105,3.9115,3.9105,3.914,3.8631,1.05,1.05,0,0,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.26296210289001465,0,0.0,0.0,53.9,36,23,3.8055,0,3.9023,4.0453,2,86.5, Low Voltage,3.9705,4.0453,3.8673,0,3.807,3.8935,3.877,3.9043,3.8648,3.8948,3.9313,3.9054,3.9145,3.8963,3.9095,3.909,3.9098,3.8335,3.9085,3.9105,3.9115,3.9105,3.914,3.8631,1.05,1.05,1.05,0,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
